,price,lotsize,bedrooms,bathrms
114,75000,4260,4,1
115,75000,6540,4,2
116,85000,3700,4,1
117,93000,3760,3,1
118,94500,4000,3,2
119,106500,4300,3,2
120,116000,6840,5,1
121,61500,4400,2,1
122,80000,10500,4,2
123,37000,4400,2,1
124,59500,4840,3,1
125,70000,4120,2,1
126,95000,4260,4,2
127,117000,5960,3,3
128,122500,8800,3,2
129,123500,4560,3,2
130,127000,4600,3,2
131,35000,4840,2,1
132,44500,3850,3,1
133,49900,4900,3,1
134,50500,3850,3,1
135,65000,3760,3,1
136,90000,6000,4,2
137,46000,4370,3,1
138,35000,7700,2,1
139,26500,2990,2,1
140,43000,3750,3,1
141,56000,3000,3,1
142,40000,2650,3,1
143,51000,4500,4,2
144,51000,4500,2,1
145,57250,4500,3,1
146,44000,4500,2,1
147,61000,2175,3,1
148,62000,4500,3,2
149,80000,4800,5,2
150,50000,4600,4,1
151,59900,3450,3,1
152,35500,3000,3,1
153,37000,3600,2,2
154,42000,3600,3,1
155,48000,3750,3,1
156,60000,2610,4,3
157,60000,2953,3,1
158,60000,2747,4,2
159,62000,1905,5,1
160,63000,3968,3,1
161,63900,3162,3,1
162,130000,6000,4,1
163,25000,2910,3,1
164,50000,2135,3,2
165,52900,3120,3,1
166,62000,4075,3,1
167,73500,3410,3,1
168,38000,2800,3,1
169,46000,2684,2,1
170,48000,3100,3,1
171,52500,3630,2,1
172,32000,1950,3,1
173,38000,2430,3,1
174,46000,4320,3,1
175,50000,3036,3,1
176,57500,3630,3,2
177,70000,5400,4,1
178,69900,3420,4,2
179,74500,3180,3,2
180,42000,3660,4,1
181,60000,4410,2,1
182,50000,3990,3,1
183,58000,4340,3,1
184,63900,3510,3,1
185,28000,3420,5,1
186,54000,3420,2,1
187,44700,5495,3,1
188,47000,3480,4,1
189,50000,7424,3,1
190,57250,3460,4,1
191,67000,3630,3,1
192,52500,3630,2,1
193,42000,3480,3,1
194,57500,3460,3,2
195,33000,3180,2,1
196,34400,3635,2,1
197,40000,3960,3,1
198,40500,4350,3,1
199,46500,3930,2,1
200,52000,3570,3,1
201,53000,3600,3,1
202,53900,2520,5,2
203,50000,3480,3,1
204,55500,3180,4,2
205,56000,3290,2,1
206,60000,4000,4,2
207,60000,2325,3,1
208,69500,4350,2,1
209,72000,3540,2,1
210,92500,3960,3,1
211,40500,2640,2,1
212,42000,2700,2,1
213,47900,2700,3,1
214,52000,3180,3,1
215,62000,3500,4,1
216,41000,3630,2,1
217,138300,6000,4,3
218,42000,3150,3,1
219,47000,3792,4,1
220,64500,3510,3,1
221,46000,3120,3,1
222,58000,3000,4,1
223,70100,4200,3,1
224,78500,2817,4,2
225,87250,3240,4,1
226,70800,2800,3,2
227,56000,3816,2,1
228,48000,3185,2,1
229,68000,6321,3,1
230,79000,3650,3,2
231,80000,4700,4,1
232,87000,6615,4,2
233,25000,3850,3,1
234,32500,3970,1,1
235,36000,3000,2,1
236,42500,4352,4,1
237,43000,3630,4,1
238,50000,3600,6,1
239,26000,3000,2,1
240,30000,3000,4,1
241,34000,2787,4,2
242,52000,3000,2,1
243,70000,4770,3,1
244,27000,3649,2,1
245,32500,3970,3,1
246,37200,2910,2,1
247,38000,3480,2,1
248,42000,6615,3,1
249,44500,3500,2,1
250,45000,3450,3,1
251,48500,3450,3,1
252,52000,3520,2,2
253,53900,6930,4,1
254,60000,4600,3,2
255,61000,4360,4,1
256,64500,3450,3,1
257,71000,4410,4,3
258,75500,4600,2,2
259,33500,3640,2,1
260,41000,6000,2,1
261,41000,5400,4,1
262,46200,3640,4,1
263,48500,3640,2,1
264,48900,4040,2,1
265,50000,3640,2,1
266,51000,3640,2,1
267,52500,5640,2,1
268,52500,3600,2,1
269,54000,3600,2,1
270,59000,4632,4,1
271,60000,3640,3,2
272,63000,4900,2,1
273,64000,4510,4,1
274,64900,4100,2,2
275,65000,3640,3,1
276,66000,5680,3,1
277,70000,6300,3,1
278,65500,4000,3,1
279,57000,3960,3,1
280,52000,5960,3,1
281,54000,5830,2,1
282,74500,4500,4,2
283,90000,4100,3,2
284,45000,6750,2,1
285,45000,9000,3,1
286,65000,2550,3,1
287,55000,7152,3,1
288,62000,6450,4,1
289,30000,3360,2,1
290,34000,3264,2,1
291,38000,4000,3,1
292,39000,4000,3,1
293,45000,3069,2,1
294,47000,4040,2,1
295,47500,4040,2,1
296,49000,3185,2,1
297,50000,5900,2,1
298,50000,3120,3,1
299,52900,5450,2,1
300,53000,4040,2,1
301,55000,4080,2,1
302,56000,8080,3,1
303,58500,4040,2,1
304,59500,4080,3,1
305,60000,5800,3,1
306,64000,5885,2,1
307,67000,9667,4,2
308,68100,3420,4,2
309,70000,5800,2,1
310,72000,7600,4,1
311,57500,5400,3,1
312,69900,4995,4,2
313,70000,3000,3,1
314,75000,5500,3,2
315,76900,6450,3,2
316,78000,6210,4,1
317,80000,5000,3,1
318,82000,5000,3,1
319,83000,5828,4,1
320,83000,5200,3,1
321,83900,5500,3,1
322,88500,6350,3,2
323,93000,8250,3,2
324,98000,6000,3,1
325,98500,7700,3,2
326,99000,8880,3,2
327,101000,8880,2,1
328,110000,6480,3,2
329,115442,7000,3,2
330,120000,8875,3,1
331,124000,7155,3,2
332,175000,8960,4,4
333,50000,7350,2,1
334,55000,3850,2,1
335,60000,7000,3,1
336,61000,7770,2,1
337,106000,7440,3,2
338,155000,7500,3,3
339,141000,8100,4,1
340,62500,3900,3,1
341,70000,2970,3,1
342,73000,3000,3,1
343,80000,10500,2,1
344,80000,5500,3,2
345,88000,4500,3,1
346,49000,3850,3,1
347,52000,4130,3,2
348,59500,4046,3,1
349,60000,4079,3,1
350,64000,4000,3,1
351,64500,9860,3,1
352,68500,7000,3,1
353,78500,7980,3,1
354,86000,6800,2,1
355,86900,4300,6,2
356,75000,10269,3,1
357,78000,6100,3,1
358,95000,6420,3,2
359,97000,12090,4,2
360,107000,6600,3,1
361,130000,6600,4,2
362,145000,8580,4,3
363,175000,9960,3,2
364,72000,10700,3,1
365,84900,15600,3,1
366,99000,13200,2,1
367,114000,9000,4,2
368,120000,7950,5,2
369,145000,16200,5,3
370,79000,6100,3,2
371,82000,6360,3,1
372,85000,6420,3,1
373,100500,6360,4,2
374,122000,6540,4,2
375,126500,6420,3,2
376,133000,6550,4,2
377,140000,5750,3,2
378,190000,7420,4,2
379,84000,7160,3,1
380,97000,4000,3,2
381,103500,9000,4,2
382,112500,6550,3,1
383,140000,13200,3,1
384,74700,7085,3,1
385,78000,6600,4,2
386,78900,6900,3,1
387,83900,11460,3,1
388,85000,7020,3,1
389,85000,6540,3,1
390,86000,8000,3,1
391,86900,9620,3,1
392,94500,10500,3,2
393,96000,5020,3,1
394,106000,7440,3,2
395,72000,6600,3,1
396,74500,7200,3,1
397,77000,6710,3,2
398,80750,6660,4,2
399,82900,7000,3,1
400,85000,7231,3,1
401,92500,7410,3,1
402,76000,7800,3,1
403,77500,6825,3,1
404,80000,6360,3,1
405,80000,6600,4,2
406,86000,6900,3,2
407,87000,6600,3,1
408,87500,6420,3,1
409,89000,6600,3,2
410,89900,6600,3,2
411,90000,9000,3,1
412,95000,6500,3,2
413,112000,6360,3,2
414,31900,5300,3,1
415,52000,2850,3,2
416,90000,6400,3,1
417,100000,11175,3,1
418,91700,6750,2,1
419,174500,7500,4,2
420,94700,6000,3,1
421,68000,10240,2,1
422,80000,5136,3,1
423,61100,3400,3,1
424,62900,2880,3,1
425,65500,3840,3,1
426,66000,2870,2,1
427,49500,5320,2,1
428,50000,3512,2,1
429,53500,3480,2,1
430,58550,3600,3,1
431,64500,3520,2,1
432,65000,5320,3,1
433,69000,6040,3,1
434,73000,11410,2,1
435,75000,8400,3,1
436,75000,5300,4,2
437,132000,7800,3,2
438,60000,3520,3,1
439,65000,5360,3,1
440,69000,6862,3,1
441,51900,3520,3,1
442,57000,4050,2,1
443,65000,3520,3,1
444,79500,4400,4,1
445,72500,5720,2,1
446,104900,11440,4,1
447,114900,7482,3,2
448,120000,5500,4,2
449,58000,4320,3,1
450,67000,5400,2,1
451,67000,4320,3,1
452,69000,4815,2,1
453,73000,6100,3,1
454,73500,7980,3,1
455,74900,6050,3,1
456,75000,3800,3,1
457,79500,5400,5,1
458,120900,6000,3,2
459,44555,2398,3,1
460,47000,2145,3,1
461,47600,2145,3,1
462,49000,2145,3,1
463,49000,2610,3,1
464,49000,1950,3,2
465,49500,2145,3,1
466,52000,2275,3,1
467,54000,2856,3,1
468,55000,2015,3,1
469,55000,2176,2,1
470,56000,2145,4,2
471,60000,2145,3,1
472,60500,2787,3,1
473,50000,9500,3,1
474,64900,4990,4,2
475,93000,6670,3,1
476,85000,6254,4,2
477,61500,10360,2,1
478,88500,5500,3,2
479,88000,5450,4,2
480,89000,5500,3,1
481,89500,6000,4,1
482,95000,5700,3,1
483,95500,6600,2,2
484,51500,4000,2,1
485,62900,4880,3,1
486,118500,4880,4,2
487,42900,8050,2,1
488,44100,8100,2,1
489,47000,5880,3,1
490,50000,5880,2,1
491,50000,12944,3,1
492,53000,6020,3,1
493,53000,4050,2,1
494,54000,8400,2,1
495,58500,5600,2,1
496,59000,5985,3,1
497,60000,4500,3,1
498,62900,4920,3,1
499,64000,8250,3,1
500,65000,8400,4,1
501,67900,6440,2,1
502,68500,8100,4,1
503,70000,6720,3,1
504,70500,5948,3,1
505,71500,8150,3,2
506,71900,4800,2,1
507,75000,9800,4,2
508,75000,8520,3,1
509,87000,8372,3,1
510,64000,4040,3,1
511,70000,4646,3,1
512,47500,4775,4,1
513,62600,4950,4,1
514,66000,5010,3,1
515,58900,6060,2,1
516,53000,3584,2,1
517,95000,6000,3,2
518,96500,6000,4,2
519,101000,6240,4,2
520,102000,6000,3,2
521,103000,7680,4,2
522,105000,6000,4,2
523,108000,6000,4,2
524,110000,6000,4,2
525,113000,6000,4,2
526,120000,7475,3,2
527,105000,5150,3,2
528,106000,6325,3,1
529,107500,6000,3,2
530,108000,6000,3,2
531,113750,6000,3,1
532,120000,7000,3,1
533,70000,12900,3,1
534,71000,7686,3,1
535,82000,5000,3,1
536,82000,5800,3,2
537,82500,6000,3,2
538,83000,4800,3,1
539,84000,6500,3,2
540,85000,7320,4,2
541,85000,6525,3,2
542,91500,4800,3,2
543,94000,6000,3,2
544,103000,6000,3,2
545,105000,6000,3,2
546,105000,6000,3,1
